1, 60337
2, 6243
3, 5756
4, 5153
5, 5140
6, 5669
6, 88
7, 5309
8, 5214
10, 60439
10, 118
11, 5384
11, 96
12, 5466
12, 79
13, 5104
14, 5304
14, 89
15, 5289
15, 95
15, 75
16, 5137
17, 5425
17, 91
19, 59742
19, 98
20, 5340
21, 5026
21, 85
22, 4988
23, 5548
24, 5434
25, 5510
25, 92
26, 5313
26, 102
28, 60194
28, 52
28, 122
29, 5004
30, 5727
31, 5347
31, 84
31, 74
32, 5258
32, 130
33, 5762
34, 2191
35, 2708
36, 2758
36, 76
1, 60449
2, 6161
2, 85
2, 105
3, 5316
4, 5363
4, 41
5, 5078
6, 5620
7, 5476
7, 99
8, 5115
8, 158
10, 60475
11, 5250
11, 86
12, 5563
12, 82
13, 5080
14, 5167
15, 5497
16, 5248
17, 5527
17, 84
19, 59691
20, 5484
21, 5021
22, 5089
23, 5601
23, 89
24, 5301
24, 91
25, 5337
25, 89
26, 5391
26, 168
28, 60126
29, 5167
30, 5719
30, 171
31, 5224
32, 5391
32, 91
33, 5234
33, 88
34, 2657
35, 2689
36, 2758
36, 106
1, 60297
2, 6240
2, 90
3, 5463
4, 5366
5, 5114
5, 74
6, 5527
7, 5479
8, 5268
10, 60323
11, 5740
12, 5398
13, 5238
13, 79
14, 5097
14, 79
15, 5357
16, 5238
16, 85
17, 5349
17, 44
17, 45
17, 78
19, 59690
20, 5502
20, 88
21, 4911
22, 5089
22, 45
23, 5498
24, 5439
24, 45
25, 5453
25, 78
26, 5341
28, 60329
29, 5147
30, 5711
31, 5351
31, 44
31, 108
32, 5333
33, 5247
33, 81
34, 2693
35, 2734
36, 2656
1, 60337
2, 6240
2, 46
3, 5557
4, 5324
4, 86
5, 5019
5, 82
6, 5535
7, 5471
8, 5224
8, 89
8, 95
10, 60198
10, 89
11, 5399
11, 88
12, 5836
13, 4898
13, 43
13, 45
14, 5080
15, 5520
15, 90
16, 5129
16, 44
17, 5412
19, 59891
20, 5467
21, 5006
22, 5087
23, 5543
23, 93
24, 5380
24, 77
25, 5339
26, 5466
28, 60414
29, 5113
30, 5708
31, 5303
32, 5448
33, 5290
33, 103
34, 2688
35, 2677
36, 2822
36, 77
36, 28
36, 27
36, 35
36, 28
36, 28
36, 27
36, 34
36, 27
36, 27
36, 30
36, 78
1, 60333
2, 6254
2, 84
3, 5453
4, 5362
4, 82
5, 5037
6, 5618
6, 101
7, 5431
8, 5163
8, 123
10, 60246
10, 79
11, 5385
11, 45
12, 5634
12, 45
13, 5760
14, 4552
14, 42
14, 57
15, 5447
15, 62
16, 5122
16, 44
16, 44
17, 5372
19, 59851
20, 5529
21, 4975
22, 5098
22, 88
22, 78
23, 5424
24, 5382
25, 5451
26, 5520
26, 58
26, 47
28, 60133
28, 96
29, 5196
29, 87
30, 5508
31, 5350
31, 44
31, 47
32, 5344
33, 5298
33, 95
34, 2692
35, 2730
35, 89
36, 2569
1, 60336
2, 6240
3, 5552
4, 5361
4, 42
4, 43
5, 5060
